n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,2,1000000000,10000000000,4153956516,5264015490,2,-7,1,-7.0
6,2,1000000000,10000000000,7004507825,9189508278,2,-63,1,-63.0
6,2,1000000000,10000000000,3691191726,8965224138,2,-255,1,-255.0
6,2,1000000000,10000000000,4377240669,9275212215,2,-63,1,-63.0
6,2,1000000000,10000000000,2647075632,9584912428,3,27,1,27.0
6,2,1000000000,10000000000,5040794892,5472563053,3,-4,1,-4.0
6,2,1000000000,10000000000,1733393465,8994243553,2,-15,1,-15.0
6,2,1000000000,10000000000,2840791367,2950926750,2,-127,1,-127.0
6,2,1000000000,10000000000,2311152557,4716507428,4,330,1,330.0
6,2,1000000000,10000000000,2265778001,5960563573,2,-7,1,-7.0
6,2,1000000000,10000000000,1044118084,7615949788,3,1333,1,1333.0
6,2,1000000000,10000000000,4496788409,6244216267,2,-383,1,-383.0
6,2,1000000000,10000000000,4282523044,4473759197,2,-159,1,-159.0
6,2,1000000000,10000000000,2642320306,7798702370,2,-3,1,-3.0
6,2,1000000000,10000000000,7621154359,8802510279,2,-95,1,-95.0
6,2,1000000000,10000000000,1434877051,5989454316,2,-23,1,-23.0
6,2,1000000000,10000000000,1634224611,3896065694,2,-19,1,-19.0
6,2,1000000000,10000000000,7640364069,8733858264,2,-127,1,-127.0
6,2,1000000000,10000000000,3199537931,3966221631,2,-15,1,-15.0
6,2,1000000000,10000000000,4668931532,9279052513,3,18,1,18.0
6,2,1000000000,10000000000,2753037456,8819626476,2,-3,1,-3.0
6,2,1000000000,10000000000,6500283580,7840100689,2,-511,1,-511.0
6,2,1000000000,10000000000,8077920001,9421503898,2,-3,1,-3.0
6,2,1000000000,10000000000,3134115919,9150208810,2,-15,1,-15.0
6,2,1000000000,10000000000,5940181321,9293508289,2,-15,1,-15.0
6,2,1000000000,10000000000,4274914353,8119445164,3,4,1,4.0
6,2,1000000000,10000000000,9097261913,9878645533,2,-63,1,-63.0
6,2,1000000000,10000000000,9314815636,9682826662,2,-127,1,-127.0
6,2,1000000000,10000000000,7662129694,9161303629,2,-23,1,-23.0
6,2,1000000000,10000000000,6044434606,7597261954,2,-127,1,-127.0
6,2,1000000000,10000000000,2888060457,4426644854,2,-71,1,-71.0
