n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
7,1000000,56,-27.0,4,53.028297,4442,54031.902288,0.00090050,0.00098143,-1431.764016
7,1000000,60,-29.0,11,146.963036,4442,54031.902288,0.00247636,0.00271993,-4261.928056
7,1000000,63,-30.5,1,13.466804,4442,54031.902288,0.00022512,0.00024924,-410.737515
7,1000000,64,-31.0,5,67.716950,4442,54031.902288,0.00112562,0.00125328,-2099.225445
7,1000000,72,-35.0,1,13.562114,4442,54031.902288,0.00022512,0.00025100,-474.673989
2,10000000,1,0.5,1,1.386294,226293,3257145.624652,0.00000442,0.00000043,0.693147
2,10000000,2,0.0,248,1878.699672,226293,3257145.624652,0.00109592,0.00057679,0.000000
2,10000000,3,-0.5,248,3413.598343,226293,3257145.624652,0.00109592,0.00104803,-1706.799171
2,10000000,4,-1.0,30639,421681.471029,226293,3257145.624652,0.13539526,0.12946350,-421681.471029
2,10000000,5,-1.5,11,131.017848,226293,3257145.624652,0.00004861,0.00004022,-196.526772
2,10000000,6,-2.0,2975,38239.805081,226293,3257145.624652,0.01314667,0.01174028,-76479.610162
2,10000000,7,-2.5,4,47.856311,226293,3257145.624652,0.00001768,0.00001469,-119.640778
2,10000000,8,-3.0,67976,967968.330110,226293,3257145.624652,0.30038932,0.29718301,-2903904.990330
2,10000000,9,-3.5,311,4425.171473,226293,3257145.624652,0.00137432,0.00135860,-15488.100155
2,10000000,10,-4.0,579,7614.092456,226293,3257145.624652,0.00255863,0.00233766,-30456.369823
2,10000000,11,-4.5,1,12.372417,226293,3257145.624652,0.00000442,0.00000380,-55.675878
2,10000000,12,-5.0,23891,341171.150716,226293,3257145.624652,0.10557551,0.10474544,-1705855.753579
2,10000000,13,-5.5,1,14.569642,226293,3257145.624652,0.00000442,0.00000447,-80.133030
2,10000000,14,-6.0,264,3746.021632,226293,3257145.624652,0.00116663,0.00115009,-22476.129791
2,10000000,15,-6.5,73,1035.185700,226293,3257145.624652,0.00032259,0.00031782,-6728.707050
2,10000000,16,-7.0,49476,725715.803677,226293,3257145.624652,0.21863690,0.22280729,-5080010.625737
2,10000000,18,-8.0,2368,34007.549792,226293,3257145.624652,0.01046431,0.01044091,-272060.398337
2,10000000,20,-9.0,2876,42007.209738,226293,3257145.624652,0.01270919,0.01289694,-378064.887642
2,10000000,21,-9.5,18,257.241638,226293,3257145.624652,0.00007954,0.00007898,-2443.795559
